,avg_nighttime_flow,ks_flow_up,ks_flow_down,ks_flow_ml_up,ks_flow_ml_down,ks_flow_ml,ks_occupancy_up,ks_occupancy_down,ks_occupancy_ml_up,ks_occupancy_ml_down,ks_occupancy_ml,Type,y
768315,1.08,0.9990098806936499,0.9644366597493446,,3.7390849302645935e-40,4.581617798606835e-48,0.9998945640423377,0.9990098806936499,,8.171971774555533e-64,1.7604983226936527e-67,HV,-1
768330,0.96,0.9644366597493446,8.936182712091501e-23,3.8703874999769725e-45,5.028441612446024e-37,4.736365726008814e-38,0.9990098806936499,5.053167175939877e-35,2.9025390393525483e-65,6.48750144084547e-59,5.555278351293943e-61,HV,-1
774745,7.2,8.936182712091501e-23,,2.5953147012058293e-08,,4.3055912093737255e-08,5.053167175939877e-35,,2.8558264098090667e-12,,6.062430861827832e-11,HV,-1
764260,2.48,,0.9644366597493446,,8.926402876821863e-42,7.038201470061761e-43,,0.01715995048736122,,5.028441612446024e-37,3.131214759135169e-41,HV,-1
764274,2.52,0.9644366597493446,0.9999961756804284,1.273001434273289e-39,1.5507212228858488e-37,4.2915578655425274e-39,0.01715995048736122,0.3706474470171066,1.7207433867727158e-50,2.8393015726534797e-54,2.869668865604379e-49,HV,-1
764267,2.56,0.9999961756804284,0.0878469342643513,3.7390849302645935e-40,4.354565666586339e-28,1.6149739485228108e-36,0.3706474470171066,0.9990098806936499,7.038201470061761e-43,5.165007853947324e-22,2.869668865604379e-49,HV,-1
764302,3.04,0.0878469342643513,0.15915169261452353,1.1751744523287492e-27,1.8472470418103187e-19,6.743148868801961e-21,0.9990098806936499,2.9449112249352205e-06,1.8013198182556788e-47,3.8703874999769725e-45,5.165007853947324e-22,HV,-1
766969,3.76,0.15915169261452353,,1.1112747154054147e-13,,1.5150272731082582e-12,2.9449112249352205e-06,,4.844938835298689e-07,,2.157374287889546e-22,HV,-1
764281,4.32,,0.9999961756804284,,4.844938835298689e-07,2.8558264098090667e-12,,0.8863728099526584,,2.157374287889546e-22,2.157374287889546e-22,HV,-1
764288,4.44,0.9999961756804284,0.9316146421154725,9.917529278929078e-12,1.1590699874557621e-07,1.8961536661976062e-06,0.8863728099526584,0.4916898698540652,1.5617752839811438e-20,0.0023728159574303693,1.5617752839811438e-20,HV,-1
764309,4.88,0.9316146421154725,0.00033005044310849946,1.2120300423138108e-06,0.0023728159574303693,7.090400202592512e-08,0.4916898698540652,0.028341477459888353,9.395122187563397e-17,9.60323195352951e-25,4.54061202082523e-06,HV,-1
766992,6.04,0.00033005044310849946,0.9952074388694081,9.206783150259314e-19,2.1917351515813012e-26,6.9503227862631795e-06,0.028341477459888353,0.003215407740347846,4.1668484744741516e-13,0.0012649386262903305,1.8472470418103187e-19,HV,-1
766994,4.44,0.9952074388694081,0.5585594327069068,3.5493236588966483e-05,7.681152510188974e-05,5.712209738808767e-26,0.003215407740347846,1.5528752782838203e-08,1.065359541719866e-09,9.917529278929078e-12,0.003215407740347846,HV,-1
766963,4.64,0.5585594327069068,0.02213087446680441,2.1917351515813012e-26,0.0006554171159690627,0.003215407740347846,1.5528752782838203e-08,0.0001615202610968331,1.0562062574758019e-05,5.437178785887903e-09,0.00023171683026536511,HV,-1
766996,7.12,0.02213087446680441,,3.181645828005833e-09,,5.437178785887903e-09,0.0001615202610968331,,1.2120300423138108e-06,,0.01715995048736122,HV,-1
763544,1.32,,1.1590699874557621e-07,,,3.780982629046643e-25,,3.462166085630029e-10,,,2.6637411820421683e-30,HV,-1
774856,2.2,1.1590699874557621e-07,2.5953147012058293e-08,1.5528752782838203e-08,4.3055912093737255e-08,,3.462166085630029e-10,6.062430861827832e-11,3.462166085630029e-10,1.8479696316088673e-09,,HV,-1
769069,1.36,2.5953147012058293e-08,,,,3.1437787896692656e-27,6.062430861827832e-11,,,,5.053167175939877e-35,HV,-1
773410,0.8,,0.9998945640423377,,7.006828784570818e-47,1.9464052738002656e-43,,0.9990098806936499,,1.550147223214658e-64,4.5026812211453965e-76,HV,-1
773461,0.8,0.9998945640423377,0.6982502252503169,1.4434641905651822e-44,5.1374895898660434e-36,4.581617798606835e-48,0.9990098806936499,0.8304634168517532,4.5026812211453965e-76,1.8013198182556788e-47,8.171971774555533e-64,HV,-1
774619,0.8,0.6982502252503169,4.736365726008814e-38,2.6967458683474243e-46,4.581617798606835e-48,4.786653114517815e-34,0.8304634168517532,3.8703874999769725e-45,1.6116173607689716e-70,1.6116173607689716e-70,6.389935598753055e-55,HV,-1
773543,9.04,4.736365726008814e-38,1.5625396373828271e-34,0.0009137765599866648,3.181645828005833e-09,0.00023171683026536511,3.8703874999769725e-45,8.926402876821863e-42,0.01715995048736122,3.2576011413383126e-31,9.395122187563397e-17,HV,-1
773425,1.0,1.5625396373828271e-34,0.9999961756804284,3.8703874999769725e-45,,1.24716984967022e-53,8.926402876821863e-42,0.19127733096650482,5.364035185661794e-66,,8.273075916058435e-94,HV,-1
774627,0.92,0.9999961756804284,0.7667067650024223,5.415950550882715e-53,7.038201470061761e-43,,0.19127733096650482,0.8863728099526584,6.006198800967884e-82,2.869668865604379e-49,,HV,-1
773477,1.2,0.7667067650024223,0.9998945640423377,,4.2915578655425274e-39,2.5192292563475036e-42,0.8863728099526584,0.8304634168517532,,5.555278351293943e-61,2.3253806034982667e-52,HV,-1
775341,1.24,0.9998945640423377,1.475949845555557e-25,3.131214759135169e-41,2.3253806034982667e-52,4.736365726008814e-38,0.8304634168517532,1.3014479285069932e-32,2.3253806034982667e-52,8.158025930448504e-83,5.555278351293943e-61,HV,-1
773521,23.28,1.475949845555557e-25,1.4434641905651822e-44,9.206783150259314e-19,,2.6637411820421683e-30,1.3014479285069932e-32,1.1751744523287492e-27,3.1437787896692656e-27,,1.087429621777175e-40,HV,-1
774639,2.08,1.4434641905651822e-44,0.00011178528333976476,1.431794989757825e-84,8.171971774555533e-64,,1.1751744523287492e-27,4.844938835298689e-07,5.929425406405357e-91,9.458659034036942e-70,,HV,-1
773506,1.6,0.00011178528333976476,0.10785099672172843,,3.7390849302645935e-40,3.7390849302645935e-40,4.844938835298689e-07,1.9749961157727357e-16,,1.5507212228858488e-37,1.5507212228858488e-37,HV,-1
773508,1.24,0.10785099672172843,0.13147918885221888,4.736365726008814e-38,4.736365726008814e-38,4.736365726008814e-38,1.9749961157727357e-16,9.222878034006115e-09,4.321870695403196e-89,9.69148200161917e-99,4.321870695403196e-89,HV,-1
773536,1.28,0.13147918885221888,0.8863728099526584,4.2915578655425274e-39,3.7390849302645935e-40,4.736365726008814e-38,9.222878034006115e-09,0.4916898698540652,4.1445862219041754e-51,1.7207433867727158e-50,2.8393015726534797e-54,HV,-1
